A\A\B421.wav,家庭军队,家庭军队。
A\A\C104.wav,诶我想不起了想不起了哈那我提醒一下你哈水果是啥子,嗯，我想不起来，好不好？
A\B\E45.wav,好叔叔现在我念一句话我只能念一遍哈然后你要跟我重复一下这句话嗯,啊哈，叔叔我现在问你一句话，我我去蹲点一边哈，然后你要跟我重复一下这句话哈。
A\C\D274.wav,家具我也记不到了呢交通工具交通工具有什么我也搞不清,家具交通工具，交通。
A\A\D399.wav,飞机飞机耳朵耳朵,飞机，飞机，耳朵，耳朵。
A\C\C757.wav,那是个剪子那个呀那是个剪刀好你看一下新的图,哦，那是个剪子，这颠倒哦。
A\B\Y257.wav,婆婆把您记到的告诉我,
A\A\B174.wav,你怕弯腰这些动作还是少做一点哦如果非要做的话可能可能只有带腰围要弯腰的时候带腰围,如果原来的，我梦没有话。
A\A\D318.wav,角落勇气容器,角落，勇气，勇气。
A\B\S476.wav,嗯没有他就是说银行存折给他算错了,没有，他就是说那个银行春字。
A\B\B711.wav,我接下来这些词里头有一些是我刚才让你记过的有一些是新加的你就告诉我哪些是记过的哪些是新加的就可以了,我接下来我给你那些词语里头，有一些是我刚才让你记住过的，有些是新加的，你就告诉我哪些是寄过的，哪些是新加的就可以了。
A\C\F526.wav,内是回声不是回音对头回声回声我都是把个错啦,这是回声，不是回音，不好。
A\B\D111.wav,六一九四七三四九七三咯,61就是734973。
A\C\G90.wav,就是这四个词语撒挨着念四个词语啊嗯第一个哦葡萄这哪里是葡萄嘛你再看另外一篇了,4个词语挨着电视，那个葡萄，葡萄。
A\C\F170.wav,信封儿童昂,媳妇哈，儿童。
A\A\C530.wav,村庄有人民没有,整装油，任命没有？
A\C\E125.wav,记不到唉一个都记不到啊想得起几个算几个还记不到记不到啊在想一下哎,听不到哎，一个都记不到。
A\B\S204.wav,这个呢,这个呢？
A\A\A859.wav,厨房哩厨房,是吗？
A\A\C543.wav,好现在可以再画一个在在刚才画的旁边在画一个,那现在可以再发一个，仔仔刚才发到旁边再发一个。
A\B\G340.wav,就心情不开心就那她心就是没有没有,就心情不开心，就是。
A\A\D643.wav,嘞个哎,
A\B\E34.wav,还有一个词还有个词啊我第一个说的第一个啊我没听清楚你说的好的,嗯，还有一个词，嗯。
A\C\D57.wav,你照着这句话的意思去做应该啷个做啊,你照这句话的意思去做，你该啷个做啊？
A\C\G139.wav,这是个啥子词你看不看得清楚首先屏幕上的字看不看得清楚这字看得清楚那读出来读出来,又是个啥子吃？
A\B\L254.wav,嘞个搞不清,我都搞不清。
A\C\B508.wav,没有乌龟没有马,没用乌龟嘛。
A\B\A37.wav,然后等一下还要我们进行下一项,然后等下我们先想一想。
A\C\H97.wav,记不得记不得没关系哈我现在说我们再记一次,几百好没关系，只要几次哈。
A\C\F300.wav,手风琴呐那这个这是啥子我还认不到,手风琴。
A\C\F432.wav,诶内些都好做诶都按照他那个做,而是搞懂，嗯，对头。
A\A\C186.wav,嗯现在是啥子季节春夏秋冬春,嗯，现在是啥子季节？春夏秋冬，春。
A\C\F294.wav,它是建筑物还是是一个粽子,他是建筑，我还是一个粽子。
A\C\B471.wav,两个人吃药的时候一起就吃了大概是,就吃了，大概是走。
A\B\L303.wav,自行车自行车也没说过,自行车。
A\C\D614.wav,这个我不晓得这是啥子也,你又不晓得。
A\A\E098.wav,桌子烟囱哈烟囱,果然，烟囱烟囱。
A\C\D453.wav,六连七七连八好你在你那张纸上连呢试一下呀,507哎，7.8，你在你那个纸上练了试一下呀。
A\B\B581.wav,就是刚刚十秒钟刚刚喊你十秒钟安你记下来的那些图安有一个是你记不到的话你感觉你没看过啊,这是刚刚10秒钟，刚刚喊你10秒钟爱你记下来的那些图，都没看过啊。
A\B\B696.wav,好它们有一些是一些身体描述身体部位的一些词语,他们有一些是些身体描写身体部位这些词语。
A\A\D120.wav,有时候晚上深更半夜起来到处哦到处哦哈哎,喊。
A\A\Q253.wav,手推车轮椅大班车你觉得像哪个哪个是他,手推车轮也大班车，你就像哪一个，哪个是他。
A\C\F4.wav,早上的话六点多钟吧六点多哈,早上的话六点多钟嘛。
A\B\D89.wav,好好现在用一只手的两个手指拍每一个肩膀两次并且眨一下眼睛,好，现在用一只瘦的两个收字，拍卖那个肩膀量尺，并且占一下眼睛。
A\A\B491.wav,回声见过没有没有,贵生，没有。
A\A\A817.wav,家具有家具是哪个哎床,好好。
A\A\C096.wav,婴儿用品是哪一个摇铃,婴儿用品是哪一个？摇铃。
A\B\F15.wav,第一个是皮球第二个是国旗第三个是树木,第1个是皮球，第2个是国旗，第3个是树木。
A\B\B781.wav,对我们住的这大部分周围的人啊肯定比我们强撒年轻人呐比我们强,在我们住的这儿，大布周围的人他肯定。
A\C\B445.wav,你让她去试一下就是你在她后面看她整个走完,你你让她去试一下。
A\B\S200.wav,诶告诉我这个是什么呀,你这个是什么呀？
A\C\F650.wav,钟自行车自行车好婆婆现在记得哪些词,用自行车，第1次呀。
A\B\Y166.wav,然后您开始和结束都要跟我说哈我要计时,
A\A\Q516.wav,都不认识认不到认不到嘞个是医生用的是啥子哎医生用的,都不认识哦，认不认不到，那个是医生用的是啥子呀？医生用的。
