a 阿啊呵腌吖锕啊呵嗄啊呵啊呵阿啊呵
ai 哀挨埃唉哎捱锿诶挨癌皑呆捱矮矮蔼哎霭嗳爱碍艾唉哎隘暧嗳瑷嗌嫒砹
an 安谙鞍氨庵桉鹌俺铵揞埯案按暗岸黯胺犴
ang 肮昂盎
ao 凹熬熬敖嚣嗷鏖鳌翱獒聱螯廒遨袄拗媪奥澳傲懊坳拗骜岙鏊
ba 八巴吧叭芭扒疤笆粑岜拔跋八茇菝魃把靶钯爸罢霸坝把耙灞鲅壩吧罢巴叭
bai 掰白百百摆伯柏佰捭败拜呗稗白
ban 般班搬斑颁扳瘢癍版板阪坂钣舨办半伴扮瓣拌绊
bang 帮邦浜梆膀榜绑棒膀傍磅谤镑蚌蒡榜
bao 包胞炮剥褒苞孢煲龅薄雹保保宝饱堡葆褓鸨报暴抱爆鲍曝刨瀑豹趵
bei 背悲杯碑卑陂埤萆鹎北被备背辈倍贝蓓惫悖狈焙邶钡孛碚褙鐾鞴臂呗备北
ben 奔贲锛本苯畚奔笨夯坌本
beng 崩绷嘣甭绷绷蹦迸甏泵蚌
bi 逼鼻荸匕比比笔彼鄙匕俾妣吡秕舭必毕币秘避闭壁臂弊辟碧拂毙蔽庇璧敝泌陛弼篦婢愎痹铋裨髀哔
bian 编边鞭砭贬扁匾碥褊便变遍辩辨辫卞苄汴忭弁缏边
biao 标彪勺镖膘骠镳杓飚飑飙瘭髟表裱婊鳔表
bie 憋瘪鳖别蹩瘪别
bin 宾滨彬斌缤濒槟傧玢豳镔鬓殡摈膑髌
bing 兵冰并槟饼屏丙柄秉炳禀邴并病摒病饼
bo 波播拨剥玻饽菠钵趵鲅博伯勃薄泊柏驳魄脖搏膊舶礴帛铂箔渤钹孛亳鹁踣饽簸跛薄柏簸掰擘檗卜啵膊
bu 逋晡钸不醭补补捕堡卜哺卟不部布步怖簿埔埠瓿钚不部
ca 擦拆嚓礤
cai 猜才财材裁采采彩踩睬采菜蔡
can 参餐骖残惭蚕惨黪惨灿掺璨孱粲
cang 苍仓沧舱伧藏
cao 操糙曹槽嘈漕螬艚草草
ce 策测侧厕册恻
cen 参岑涔
ceng 噌曾层蹭
cha 差插叉碴喳嚓杈馇锸查察茶叉茬碴楂猹搽槎檫叉衩镲差刹叉诧岔衩杈汊姹
chai 差拆钗柴豺侪虿瘥
chan 搀掺觇单缠禅蝉馋潺蟾婵谗廛孱镡澶躔产产铲阐谄冁蒇骣颤忏羼
chang 昌娼猖伥阊菖鲳长场常尝肠偿倘裳嫦徜苌厂场厂敞氅昶惝唱畅倡怅鬯
chao 超抄吵钞绰剿焯怊朝潮嘲巢晁炒炒吵耖
che 车砗扯彻撤澈掣坼辙
chen 郴琛嗔抻陈沉晨沈尘臣辰橙忱谌宸陳碜称趁衬秤谶榇龀伧
cheng 称撑秤瞠噌铛柽蛏成城程承诚盛乘呈惩澄橙丞埕枨塍铖裎酲逞骋裎称秤诚
chi 吃痴哧嗤蚩笞鸱媸螭眵魑持迟池驰匙弛踟墀茌篪坻尺齿耻侈褫豉赤斥翅啻炽敕叱饬傺彳瘛眙
chong 冲充涌憧忡艟舂茺衝重崇虫宠冲铳
chou 抽瘳愁仇筹酬绸踌惆畴稠帱俦雠丑瞅臭酬
chu 出初樗除厨躇橱雏锄蜍刍滁蹰处处楚储础杵褚楮处触畜矗怵搐绌黜亍憷
chuai 揣搋揣揣啜踹嘬膪
chuan 穿川巛氚传船遄椽舡喘舛串钏
chuang 创窗疮床幢闯创怆
chui 吹炊垂锤捶陲椎槌棰吹
chun 春椿蝽纯唇醇淳鹑莼蠢
chuo 戳踔绰啜辍龊
ci 差刺疵呲词辞慈磁瓷兹茨雌祠茈鹚糍此次刺赐伺剌蚝
cong 从匆聪葱囱苁骢璁枞从丛琮淙
cou 凑楱辏腠
cu 粗徂殂促簇醋卒猝蹴蹙蔟酢
cuan 蹿撺汆镩攒窜篡爨
cui 衰催摧崔隹榱璀脆粹萃翠瘁悴淬毳啐
cun 村皴存蹲忖寸
cuo 搓撮磋蹉嵯矬痤瘥鹾撮脞错措挫厝锉
da 答搭嗒耷褡哒打达答瘩沓鞑怛笪靼妲打大塔疸瘩
dai 待呆呔逮歹傣大代带待戴袋贷逮殆黛怠玳岱迨骀绐埭甙帶袋待
dan 单担丹耽眈殚箪儋瘅聃郸担胆掸赕疸瘅但担石弹淡旦蛋诞惮啖澹氮萏瘅吐
dang 当裆铛當党挡谠档当荡档挡宕菪凼砀党
dao 刀叨忉氘叨导导倒岛蹈捣祷到道倒悼盗稻到
de 得德锝嘚嘚的地得
dei 得
deng 登灯蹬噔簦等戥邓凳瞪澄蹬磴镫嶝等
di 提低滴堤嘀氐镝羝敌笛的迪涤嘀狄嫡翟荻籴觌镝底抵诋邸砥坻柢氐骶地第帝弟递蒂缔谛睇棣娣碲绨弟
dia 嗲
dian 颠滇掂癫巅点典碘踮丶點电店甸淀垫殿奠惦佃玷簟坫靛钿癜阽点典
diao 雕刁凋叼貂碉鲷鸟屌调掉吊钓铫铞調掉
die 爹跌踮叠迭碟谍蝶喋佚牒耋蹀堞瓞揲垤鲽
ding 丁盯钉叮町酊疔仃耵玎顶鼎酊定订钉铤腚锭碇啶
diu 丢铥丟
dong 东冬咚岽氡鸫懂董硐动洞冻栋恫侗垌峒胨胴硐動
dou 都兜蔸篼督嘟斗抖陡蚪读斗豆逗窦痘
du 都督嘟读独顿毒渎牍犊黩髑椟肚睹堵赌笃度渡肚杜妒镀芏蠹度
duan 端短断段锻缎煅椴簖
dui 堆对队兑敦碓憝怼镦對
dun 吨敦蹲墩礅镦盹趸顿盾钝炖遁沌囤砘
duo 多咄哆掇裰度夺踱铎掇朵躲垛哚缍舵堕跺剁惰垛驮沲柁朵
e 阿婀屙额俄哦鹅娥峨蛾讹莪锇恶恶饿扼愕遏噩呃厄鄂轭颚鳄谔锷萼腭垩鹗苊阏惡呃
ei 诶诶诶
en 恩蒽摁嗯
er 而儿鸸鲕洱耳尔耳迩饵洱珥铒二佴儿
fa 发罚乏伐阀筏垡法砝发珐发
fan 翻番帆藩幡蕃凡烦繁泛樊蕃燔矾蘩钒蹯反返饭犯范贩泛梵畈飯烦
fang 方芳妨坊邡枋钫房防妨坊肪鲂访仿纺彷舫紡放坊
fei 非飞啡菲扉霏妃绯蜚鲱肥腓淝菲匪诽斐蜚翡悱篚榧费废沸肺吠痱狒镄芾砩
fen 分纷氛芬吩酚玢坟焚汾棼鼢粉分份奋愤粪忿偾瀵鲼分
feng 风封丰峰疯锋蜂枫烽酆葑沣砜讽鋒逢缝冯讽唪奉缝凤俸葑鳳
fo 佛
fou 否缶
fu 夫肤敷孵呋稃麸趺跗芙夫服福佛幅伏符浮扶弗拂袱俘芙孚匐辐涪氟桴蜉苻茯莩菔幞怫艴郛绂绋凫祓砩黻罘稃蚨芾蝠抚缚府父腐抚辅甫俯斧脯釜腑拊滏黼符莆服复父负副富付妇附赴腹覆赋傅缚咐阜讣驸赙馥蝮鲋鳆負咐服袱夫腐复
ga 咖嘎胳伽旮嘎噶轧尜钆嘎尕尬
gai 该赅垓陔改概盖丐钙芥溉戤改
gan 干甘肝杆尴乾竿坩苷柑泔矸疳酐赶敢感敢赶杆橄秆擀澉干赣淦绀旰乾杆
gang 刚钢纲缸扛杠冈肛罡剛港岗钢杠戆筻
gao 高糕膏皋羔睾篙槔稿搞藁槁缟镐杲告膏诰郜锆
ge 歌格哥戈割胳搁疙咯鸽屹仡圪纥袼革格隔葛阁胳搁蛤嗝骼颌搿膈镉塥鬲噶个各合盖葛哿舸个各铬硌虼個个歌
gei 给給给
gen 根跟哏艮亘艮茛
geng 更耕庚羹赓耿颈梗哽鲠埂绠更
gong 工公共红供功攻宫恭躬龚弓肱蚣觥巩拱汞珙共供贡
gou 句沟勾钩篝佝枸缑鞲狗苟岣枸笱够购构勾觏垢诟媾遘彀
gu 姑骨孤估辜咕呱箍沽菇轱鸪毂菰蛄酤觚骨古鼓谷古股鼓骨谷贾汩蛊毂鹄牯臌诂瞽罟钴嘏蛄鹘故顾固估雇锢梏牿崮痼鲴顾咕
gua 括瓜刮呱栝胍鸹蜗寡呱剐挂褂卦诖
guai 乖掴拐怪
guan 关观官冠棺矜莞倌纶鳏管馆莞观惯冠贯罐灌掼盥涫鹳管馆
guang 光咣胱桄广犷逛桄广
gui 规归瑰龟硅闺皈傀圭妫鲑鬼轨诡癸匦庋宄晷簋贵桂跪柜刽炔刿桧炅鳜匮鬼
gun 滚鲧衮绲磙辊棍滚
guo 过锅郭涡聒蝈崞埚呙国帼掴馘虢果裹猓椁蜾叵过過过
ha 哈铪虾蛤哈哈
hai 嘿咳嗨还孩骸海還海胲醢害亥骇氦害
han 酣憨顸鼾蚶含寒汗韩涵函晗焓邯邗喊罕阚汉汗憾翰撼旱捍悍瀚焊颔菡撖
hang 夯行航吭杭绗珩颃行巷沆
hao 蒿薅嚆号毫豪嚎壕貉嗥濠蚝好好郝好号浩耗皓昊灏镐颢
he 喝呵诃嗬和何合河核盒禾荷阂涸阖貉曷颌劾菏盍纥蚵翮褐和何喝赫吓贺荷鹤壑褐合
hei 黑嘿嗨
hen 痕很很狠恨
heng 哼亨横衡恒蘅珩桁横哼哼
hong 轰哄烘薨訇红洪鸿宏虹弘泓闳蕻黉荭哄哄讧蕻
